,,,,,,,,,,,
Ameren Corp (AEE US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,4.690,3.870,4.230,4.510,5.660,5.040,5.200,5.340,—
    Growth (YoY),ESG_SCORE,—,—,-17.484,9.302,6.619,25.499,-10.954,3.175,2.692,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,3.720,3.340,3.510,4.100,5.120,4.490,4.730,4.660,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-10.258,5.242,16.785,25.014,-12.464,5.410,-1.546,—
BESG Social Pillar Score,SOCIAL_SCORE,—,3.850,1.780,2.500,2.390,4.510,3.520,3.840,4.360,—
    Growth (YoY),SOCIAL_SCORE,—,—,-53.678,40.204,-4.308,88.384,-22.044,9.313,13.319,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.530,7.730,7.850,7.990,7.960,7.900,7.640,7.750,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,2.758,1.509,1.818,-0.433,-0.795,-3.213,1.351,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,42.943,50.528,50.790,55.085,55.558,56.041,58.465,61.825,64.521,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,21.555,17.662,0.518,8.457,0.858,0.869,4.326,5.747,4.361,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,29.961,41.136,42.555,41.136,42.555,44.005,44.005,44.337,47.720,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,165.952,37.298,3.451,-3.336,3.451,3.407,0.000,0.755,7.629,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,13.180,22.824,22.189,36.518,36.518,36.518,43.803,47.279,45.707,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,46.309,73.165,-2.781,64.578,0.000,0.000,19.950,7.937,-3.325,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,85.521,87.477,87.477,87.477,87.477,87.477,87.477,93.739,100.000,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,2.288,0.000,0.000,0.000,0.000,0.000,7.158,6.680,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,18.053,15.839,15.299,15.943,16.403,13.026,13.053,15.375,13.705,10.249
    Growth (YoY),NOX_EMISSIONS,—,-12.267,-3.406,4.209,2.885,-20.588,0.207,17.789,-10.862,-25.217
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,2.868,2.822,3.008,2.732,2.379
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,-1.604,6.591,-9.176,-12.925
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,57.809,55.556,50.818,55.247,52.461,46.458,52.805,58.985,52.638,38.284
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,-3.897,-8.528,8.715,-5.043,-11.443,13.662,11.703,-10.760,-27.269
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,No,No,No,No,No,No,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,"30,304.699","28,201.801","26,372.100","29,761.900","29,117.000","24,017.000","25,664.400","27,903.801","24,622.400","19,586.000"
    Growth (YoY),CO2_SCOPE_1,-7.048,-6.939,-6.488,12.854,-2.167,-17.516,6.859,8.726,-11.760,-20.455
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,—,—,"6,532.350","6,329.420","6,508.540",—,—,—,"7,449.130","6,873.960"
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,—,—,—,-3.107,2.830,—,—,—,—,-7.721
GHG Scope 1,GHG_SCOPE_1,"30,675.000","28,548.199","26,596.699","29,995.801","29,344.900","24,413.699","25,967.199","28,229.900","24,969.100","19,883.199"
    Growth (YoY),GHG_SCOPE_1,-6.984,-6.933,-6.836,12.780,-2.170,-16.804,6.363,8.714,-11.551,-20.369
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,91.479,83.980,"6,570.580","6,366.490","6,552.020",62.836,58.106,74.981,81.222,84.831
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,30.351,-8.198,"7,723.982",-3.106,2.914,-99.041,-7.528,29.042,8.323,4.443
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,83.980,66.397,68.388,74.622,62.836,58.106,74.981,81.222,84.831
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,-20.937,2.999,9.116,-15.794,-7.528,29.042,8.323,4.443
GHG Scope 3,GHG_SCOPE_3,"1,213.410","1,083.750",965.004,"1,074.890","1,050.590",792.353,"13,769.700","18,828.000","21,483.699","16,600.000"
    Growth (YoY),GHG_SCOPE_3,78.674,-10.686,-10.957,11.387,-2.261,-24.580,"1,637.824",36.735,14.105,-22.732
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,—,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,—,—,0.000,0.000,0.000,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.664,0.636,0.661,0.693,0.662,0.629,0.661,0.749,0.649,0.613
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,2.312,-4.233,3.964,4.841,-4.473,-4.985,5.087,13.313,-13.351,-5.547
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,Yes
,,,,,,,,,,,
Energy,,,,,,,,,,,
Total Energy Consumption,ENERGY_CONSUMPTION,—,"2,717.230","2,444.470","44,392.898","45,911.301","38,864.199","39,262.699","39,822.602","40,793.801",—
    Growth (YoY),ENERGY_CONSUMPTION,—,—,-10.038,"1,716.054",3.420,-15.349,1.025,1.426,2.439,—
Renewable Energy Use,RENEW_ENERGY_USE,—,24.998,26.189,"2,031.970","1,588.790","2,354.730","2,256.750","3,627.800","3,805.830",—
    Growth (YoY),RENEW_ENERGY_USE,—,—,4.764,"7,658.868",-21.810,48.209,-4.161,60.753,4.907,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,24.998,26.189,22.552,19.930,20.540,25.850,29.140,36.351,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,4.764,-13.888,-11.626,3.061,25.852,12.727,24.746,—
Fuel Used - Coal/Lignite,COAL_USED,—,361.587,339.117,285.040,277.301,233.396,242.821,"4,534.690","3,912.320",—
    Growth (YoY),COAL_USED,—,—,-6.214,-15.946,-2.715,-15.833,4.038,"1,767.503",-13.725,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,"6,378.700","6,074.830","2,710.680","3,193.810","2,336.830","3,527.110","44,272.699","58,896.602",—
    Growth (YoY),NAT_GAS_USED,—,—,-4.764,-55.379,17.823,-26.833,50.936,"1,155.212",33.031,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,1.282,0.987,0.162,0.176,0.120,0.115,1.269,0.656,—
    Growth (YoY),OIL_DIESEL_USED,—,—,-23.056,-83.595,8.987,-31.837,-4.211,"1,002.007",-48.308,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,—,—,—,—,0.026,0.021
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,—,—,—,—,-18.098
Waste Recycled,WASTE_RECYCLED,72.562,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"4,297,520.000","4,385,330.000","4,132,280.000","70,222,400.000","59,905,400.000","70,567,000.000","71,178,496.000","62,974,800.000","57,433,800.000","48,870,900.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,2.043,-5.770,"1,599.362",-14.692,17.797,0.867,-11.526,-8.799,-14.909
Total Water Discharged,TOTAL_WATER_DISCHARGED,"4,264,890.000","4,351,830.000","4,099,120.000","70,191,200.000","59,751,500.000","70,531,200.000","71,155,200.000","62,956,400.000","57,404,400.000","48,843,500.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,2.039,-5.807,"1,612.348",-14.873,18.041,0.885,-11.522,-8.819,-14.913
Water Consumption,WATER_CONSMPTN,"32,630.000","33,496.000","33,161.000","31,184.000","35,730.000","35,828.000","23,597.000","18,490.000","29,331.000","27,133.000"
    Growth (YoY),WATER_CONSMPTN,—,2.654,-1.000,-5.962,14.578,0.274,-34.138,-21.643,58.632,-7.494
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,7.000,8.000,7.300,8.500,10.000,10.000,11.000,9.000,10.000,12.000
    Growth (YoY),COMMUNITY_SPENDING,—,14.286,-8.750,16.438,17.647,0.000,10.000,-18.182,11.111,20.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,23.000,22.000,19.000,26.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,-4.348,-13.636,36.842
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,19.170,21.420,21.930,23.220
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,11.737,2.381,5.882
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,24.000,24.000,24.000,25.000,24.000,24.000,24.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,0.000,0.000,4.167,-4.000,0.000,0.000
Pct Minorities in Management,PCT_MINORITY_MGT,—,—,—,—,—,—,21.000,20.000,—,—
    Growth (YoY),PCT_MINORITY_MGT,—,—,—,—,—,—,—,-4.762,—,—
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,14.000,15.000,15.000,15.000,16.000,16.000,26.000
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,7.143,0.000,0.000,6.667,0.000,62.500
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,0.025,0.025,0.030,0.000,0.000,0.000,0.000
    Growth (YoY),POLITICAL_DONATIONS,—,—,—,—,0.000,20.000,—,—,—,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,—,—,—,—,—,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,0.260,0.360,0.280,0.310,0.270,0.200,0.360,0.270,0.260
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,38.462,-22.222,10.714,-12.903,-25.926,80.000,-25.000,-3.704
