,,,,,,,,,,,
Boralex Inc (BLX CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.910,3.240,3.250,3.300,3.900,3.740,4.600,5.000,5.000
    Growth (YoY),ESG_SCORE,—,—,11.340,0.309,1.538,18.182,-4.103,22.995,8.696,0.000
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,1.840,2.090,2.100,2.240,2.890,2.870,3.890,4.350,4.360
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,13.480,0.280,6.578,29.011,-0.679,35.811,11.665,0.250
BESG Social Pillar Score,SOCIAL_SCORE,—,2.120,2.560,2.210,2.190,2.880,2.450,3.150,3.620,3.540
    Growth (YoY),SOCIAL_SCORE,—,—,20.561,-13.483,-1.175,31.836,-15.189,28.739,14.975,-2.353
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.130,6.450,7.040,6.950,7.190,7.120,7.710,7.870,7.960
    Growth (YoY),GOVERNANCE_SCORE,—,—,5.196,9.259,-1.246,3.451,-0.990,8.222,2.127,1.128
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,27.643,29.102,33.880,33.085,38.547,41.636,41.555,45.680,44.804,47.581
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.000,5.277,16.419,-2.346,16.510,8.011,-0.193,9.925,-1.916,6.197
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.000,0.332,1.178,1.178,16.219,19.541,19.541,28.541,25.672,25.672
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,254.545,0.000,"1,276.923",20.484,0.000,46.059,-10.053,0.000
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,7.225,10.006,17.805,17.805,16.778,22.733,22.491,25.877,26.119,28.174
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,38.494,77.946,0.000,-5.772,35.495,-1.064,15.054,0.935,7.870
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,75.527,76.791,82.480,80.102,82.480,82.480,82.480,82.480,82.480,88.742
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,1.674,7.409,-2.883,2.969,0.000,0.000,0.000,0.000,7.591
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,0.013,—,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,57.257,56.523,24.759,1.215,1.227
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,-1.282,-56.197,-95.093,0.988
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,1.444,1.246,2.351,2.811,1.710
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,-13.712,88.684,19.566,-39.168
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,—,—,115.409,66.354
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,—,—,-42.505
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,1.000,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,—,—,—,—,17.076,19.099,20.180
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,—,—,—,—,11.848,5.659
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,—,—,14.629,14.467,15.460
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,—,—,—,-1.107,6.864
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,No,No,No,No,No,No,Yes
Community Spending,COMMUNITY_SPENDING,—,—,0.474,0.583,0.883,0.911,1.090,0.617,0.616,0.786
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,22.996,51.458,3.171,19.667,-43.448,-0.164,27.672
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,15.000,—,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,25.900,25.200,29.600,32.900
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,-2.703,17.460,11.149
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,29.000,29.400,31.300,33.000,33.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,1.379,6.463,5.431,0.000
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,0.000,—,—,—,—,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,0.298,0.243,0.260,—,—,0.190,0.490
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,-18.456,6.996,—,—,—,157.895
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,1.100,1.000,—,0.300,0.600,1.200,0.940,0.490
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,-9.091,—,—,100.000,100.000,-21.667,-47.872
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,No,No,No,No,No
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,300.000,300.000,300.000,335.000,410.000,479.000,527.000,562.000,626.000,753.000
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,13.000,9.800,16.800,21.200,16.100
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,-24.615,71.429,26.190,-24.057
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,6.000,5.000,7.000,5.000,5.000,5.000,6.000,6.000,5.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,93.330,100.000,100.000,100.000,100.000,100.000,100.000,94.440,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,-6.670,7.147,0.000,0.000,0.000,0.000,0.000,-5.560,5.887
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,10.000,10.000,11.000,10.000,11.000,11.000,11.000,10.000,11.000,11.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,11.000,10.000,17.000,5.000,5.000,5.000,7.000,5.000,5.000,5.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,8.000,9.000,8.000,9.000,10.000,10.000,10.000,9.000,9.000,10.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,15.000,12.000,16.000,16.000,12.000,10.000,14.000,12.000,12.000,8.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,97.000,95.000,95.000,—,93.130,96.000,98.630,98.600,98.400,98.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,13.984,-2.062,0.000,—,—,3.082,2.740,-0.030,-0.203,-0.407
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,7.000,8.000,7.000,7.000,8.000,7.000,8.000,8.000,7.000,5.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,92.000,96.000,100.000,100.000,97.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,-8.000,4.348,4.167,0.000,-3.000,3.093,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,4.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,2.000,3.000,3.000,4.000,4.000,5.000,5.000,5.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,—,—,45.000,46.000,47.000,48.000,48.000,49.000,50.000,51.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,—,—,72.000,73.000,72.000,75.000,76.000,70.000,71.000,72.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,7.000,8.000,7.000,8.000,10.000,10.000,9.000,9.000,9.000,10.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,4.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,4.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000
