,,,,,,,,,,,
Chubu Electric Power Co Inc (9502 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,03/31/2015,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,3.140,3.130,2.910,2.740,2.760,3.750,3.980,4.140,4.160,—
    Growth (YoY),ESG_SCORE,—,-0.318,-7.029,-5.842,0.730,35.870,6.133,4.020,0.483,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,3.020,3.060,3.000,2.730,2.600,4.790,5.020,5.140,5.220,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,1.172,-1.793,-8.975,-4.840,84.239,4.735,2.344,1.545,—
BESG Social Pillar Score,SOCIAL_SCORE,2.310,2.310,1.330,1.330,1.330,1.330,1.620,1.790,1.890,—
    Growth (YoY),SOCIAL_SCORE,—,0.000,-42.468,0.000,0.000,0.000,21.816,10.373,5.675,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,4.280,4.160,4.720,4.500,4.850,5.010,5.120,5.320,5.110,—
    Growth (YoY),GOVERNANCE_SCORE,—,-2.734,13.339,-4.658,7.777,3.371,2.149,3.990,-4.068,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,44.684,45.891,48.204,43.698,48.858,50.599,57.811,59.551,63.002,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,52.175,2.701,5.042,-9.349,11.809,3.562,14.254,3.010,5.794,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,65.509,64.965,64.965,51.435,66.928,72.153,68.771,70.825,71.157,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,290.108,-0.830,0.000,-20.828,30.123,7.807,-4.688,2.986,0.469,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,12.455,16.626,17.654,17.654,17.654,17.654,30.865,34.039,35.399,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,-5.936,33.495,6.182,0.000,0.000,0.000,74.829,10.284,3.996,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,56.021,56.021,61.921,61.921,61.921,61.921,73.721,73.721,82.360,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,-3.325,0.000,10.532,0.000,0.000,0.000,19.057,0.000,11.719,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,9.000,9.000,8.281,7.446,7.312,0.000,0.079,0.074,0.077,0.084
    Growth (YoY),NOX_EMISSIONS,—,0.000,-7.989,-10.083,-1.800,—,—,-6.329,4.054,9.091
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,0.000,0.000,0.000,0.000,0.000
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,4.000,4.000,3.006,4.008,3.686,0.000,0.001,0.001,0.002,0.002
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,0.000,-24.843,33.330,-8.041,—,—,0.000,100.000,0.000
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
