,,,,,,,,,,,
Chugoku Electric Power Co Inc/The (9504 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,03/31/2015,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,3.090,3.080,3.190,3.350,3.250,3.300,3.940,4.130,4.190,—
    Growth (YoY),ESG_SCORE,—,-0.324,3.571,5.016,-2.985,1.538,19.394,4.822,1.453,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,2.890,2.900,2.970,3.340,3.250,3.200,3.960,4.050,4.270,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,0.442,2.263,12.568,-2.819,-1.459,23.695,2.172,5.617,—
BESG Social Pillar Score,SOCIAL_SCORE,2.310,2.310,2.310,2.310,2.310,2.310,3.160,3.560,3.660,—
    Growth (YoY),SOCIAL_SCORE,—,0.000,0.000,0.000,0.000,0.000,36.889,12.514,2.808,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,4.330,4.240,4.590,4.530,4.290,4.590,4.760,4.900,4.610,—
    Growth (YoY),GOVERNANCE_SCORE,—,-2.109,8.215,-1.274,-5.284,6.995,3.712,2.823,-5.819,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,46.183,48.647,51.182,53.073,59.672,60.507,63.364,64.289,63.505,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,12.058,5.337,5.211,3.695,12.434,1.399,4.722,1.461,-1.220,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,58.170,58.170,60.133,65.811,67.230,67.230,70.372,70.372,71.036,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,13.161,0.000,3.375,9.442,2.157,0.000,4.672,0.000,0.944,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,13.845,13.845,13.845,13.845,18.017,18.017,23.458,26.239,23.216,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,8.019,0.000,0.000,0.000,30.131,0.000,30.201,11.856,-11.521,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,66.436,73.811,79.440,79.440,93.618,96.117,96.117,96.117,96.117,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,11.974,11.101,7.626,0.000,17.848,2.669,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,11.000,11.000,10.000,9.000,9.000,8.000,6.000,7.000,6.000,5.000
    Growth (YoY),NOX_EMISSIONS,-8.333,0.000,-9.091,-10.000,0.000,-11.111,-25.000,16.667,-14.286,-16.667
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,6.000,6.000,5.000,5.000,5.000,4.000,4.000,3.000,3.000,3.000
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-14.286,0.000,-16.667,0.000,0.000,-20.000,0.000,-25.000,0.000,0.000
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
