,,,,,,,,,,,
Brookfield Corp (BN CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.090,2.140,2.300,2.910,2.900,3.540,3.590,4.970,4.990
    Growth (YoY),ESG_SCORE,—,—,2.392,7.477,26.522,-0.344,22.069,1.412,38.440,0.402
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.000,0.000,0.000,0.770,0.760,3.400,3.710,3.740,3.770
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,-0.307,345.811,8.890,1.004,0.773
BESG Social Pillar Score,SOCIAL_SCORE,—,0.760,0.900,1.240,1.930,1.930,2.010,2.010,4.520,4.520
    Growth (YoY),SOCIAL_SCORE,—,—,18.497,37.132,56.194,-0.023,3.883,0.000,125.288,0.000
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,7.870,7.670,7.390,7.120,7.100,6.930,6.880,6.700,6.760
    Growth (YoY),GOVERNANCE_SCORE,—,—,-2.611,-3.695,-3.573,-0.283,-2.443,-0.749,-2.566,0.924
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,30.409,31.174,31.516,39.382,39.654,40.680,43.295,43.577,48.627,47.480
    Growth (YoY),ESG_DISCLOSURE_SCORE,-0.918,2.514,1.097,24.960,0.690,2.588,6.429,0.651,11.588,-2.358
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,1.601,1.933,1.933,20.387,21.202,22.622,22.622,23.467,37.844,34.401
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,-34.568,20.755,0.000,954.687,4.000,6.695,0.000,3.738,61.261,-9.098
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,6.409,6.409,7.437,12.606,12.606,14.268,15.840,15.840,16.626,16.626
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,0.000,16.038,69.512,0.000,13.189,11.017,0.000,4.962,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,84.979,84.979,84.979,84.979,84.979,91.240,91.240,91.240,91.240
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,2.357,0.000,0.000,0.000,0.000,7.368,0.000,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,—,—,0.333,0.371,0.358,0.377,0.365,0.454,0.363
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,11.411,-3.504,5.307,-3.183,24.384,-20.044
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,1.464,1.528,1.805,1.779,2.109,2.184,2.334
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,4.372,18.128,-1.440,18.550,3.556,6.868
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,1.914,1.740,1.987,1.978,2.048
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,-9.091,14.195,-0.453,3.539
GHG Scope 3,GHG_SCOPE_3,—,—,—,3.346,4.224,4.527,1.165,2.646,10.945,21.758
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,26.240,7.173,-74.266,127.124,313.643,98.794
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,5.566,6.153,8.002,7.982,9.527,11.033,10.842
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,10.546,30.050,-0.250,19.356,15.808,-1.731
Electricity Used,ELECTRICITY_USED,—,—,—,3.164,3.355,4.768,4.279,4.893,5.696,4.615
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,6.036,42.101,-10.256,14.351,16.405,-18.978
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,106.307,123.657,142.255,145.386,198.452,225.356,—
    Growth (YoY),NAT_GAS_USED,—,—,—,—,16.321,15.040,2.201,36.500,13.557,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,0.000,0.000,0.001,0.002,0.002,0.002,—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,—,2.178,33.111,13.564,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Total Waste,TOTAL_WASTE,—,—,—,0.220,0.239,0.329,0.125,0.151,0.238,0.296
    Growth (YoY),TOTAL_WASTE,—,—,—,—,8.636,37.657,-62.006,20.800,57.616,24.370
Waste Recycled,WASTE_RECYCLED,—,—,—,0.117,0.108,0.151,0.063,0.075,0.117,0.186
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,-7.762,40.716,-58.702,20.800,54.464,59.904
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Water Consumption,WATER_CONSMPTN,—,—,—,25.116,27.846,35.781,26.561,30.435,45.648,40.588
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,10.870,28.496,-25.768,14.585,49.985,-11.085
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,44.000,45.000,45.000,45.000,46.000,45.000,46.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,2.273,0.000,0.000,2.222,-2.174,2.222
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,45.000,39.000,40.000,41.000
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,—,-13.333,2.564,2.500
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,—,—,—,"1,190.000","1,615.000","1,615.000","1,854.000","2,380.000","2,708.000","2,690.000"
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,34.000,35.000,36.000,37.000,38.000,39.000,40.000,41.000,42.000,43.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,3.030,2.941,2.857,2.778,2.703,2.632,2.564,2.500,2.439,2.381
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,4.000,4.000,3.000,4.000,4.000,5.000,4.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,4.000,4.000,3.000,4.000,4.000,5.000,4.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.000,8.000,9.000,7.000,8.000,7.000,8.000,8.000,8.000,8.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,94.440,100.000,96.420,92.850,96.875,100.000,100.000,95.830
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,7.701,0.000,-5.560,5.887,-3.580,-3.703,4.335,3.226,0.000,-4.170
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,16.000,16.000,16.000,16.000,16.000,15.000,16.000,16.000,15.000,14.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,5.000,8.000,9.000,10.000,8.000,8.000,10.000,10.000,6.000,3.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,14.000,14.000,14.000,14.000,13.000,12.000,13.000,13.000,12.000,11.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,9.000,9.000,10.000,9.000,10.000,9.000,8.000,10.000,8.000,8.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,95.313,95.860,98.120,96.320,98.700,97.120,100.000,100.000,99.210,95.680
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,3.376,0.574,2.358,-1.834,2.471,-1.601,2.965,0.000,-0.790,-3.558
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,2.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,2.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,2.000,3.000,2.000,2.000,2.000,3.000,2.000,2.000,3.000,2.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,4.000,4.000,4.000,4.000,4.000,5.000,6.000,6.000,6.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,49.000,50.000,51.000,52.000,53.000,54.000,55.000,56.000,57.000,58.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,86.000,75.000,76.000,77.000,78.000,79.000,80.000,81.000,82.000,83.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,10.000,10.000,10.000,10.000,10.000,9.000,10.000,10.000,9.000,8.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
