,,,,,,,,,,,
Hokkaido Electric Power Co Inc (9509 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,03/31/2015,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,2.830,2.770,2.800,2.940,2.840,2.780,3.370,3.300,3.370,—
    Growth (YoY),ESG_SCORE,—,-2.120,1.083,5.000,-3.401,-2.113,21.223,-2.077,2.121,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,2.130,1.900,1.960,2.150,2.260,2.190,2.770,2.710,2.700,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,-10.872,3.196,9.701,4.963,-2.796,26.310,-2.236,-0.451,—
BESG Social Pillar Score,SOCIAL_SCORE,2.820,2.820,2.720,2.820,2.310,2.310,3.490,3.230,3.230,—
    Growth (YoY),SOCIAL_SCORE,—,-0.139,-3.430,3.552,-18.029,0.000,51.039,-7.429,-0.048,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,4.150,4.430,4.520,4.590,4.580,4.420,4.320,4.440,4.770,—
    Growth (YoY),GOVERNANCE_SCORE,—,6.813,1.958,1.575,-0.247,-3.341,-2.285,2.707,7.494,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,34.453,36.143,36.485,36.767,39.835,39.835,43.497,45.961,50.528,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,-1.834,4.905,0.946,0.772,8.345,0.000,9.192,5.666,9.937,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,43.491,42.646,42.646,43.491,45.213,45.213,49.804,49.804,49.804,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,-1.944,0.000,1.983,3.958,0.000,10.154,0.000,0.000,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,8.646,8.646,9.674,9.674,11.246,11.246,17.654,17.654,18.047,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,0.000,11.888,0.000,16.250,0.000,56.989,0.000,2.226,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,51.144,57.044,57.044,57.044,62.944,62.944,62.944,70.319,83.594,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,-3.630,11.536,0.000,0.000,10.343,0.000,0.000,11.717,18.878,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,18.000,18.000,16.000,17.000,14.000,12.000,9.000,11.000,10.000,—
    Growth (YoY),NOX_EMISSIONS,-10.000,0.000,-11.111,6.250,-17.647,-14.286,-25.000,22.222,-9.091,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,28.000,26.000,25.000,23.000,19.000,15.000,13.000,13.000,14.000,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,3.704,-7.143,-3.846,-8.000,-17.391,-21.053,-13.333,0.000,7.692,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
