,,,,,,,,,,,
Iberdrola SA (IBE SM) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,4.800,4.690,5.170,5.380,5.480,5.440,6.000,6.200,—
    Growth (YoY),ESG_SCORE,—,—,-2.292,10.235,4.062,1.859,-0.730,10.294,3.333,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,4.490,4.620,5.940,6.130,6.100,6.180,6.620,6.700,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,3.006,28.471,3.192,-0.483,1.322,7.023,1.253,—
BESG Social Pillar Score,SOCIAL_SCORE,—,3.520,3.330,3.240,3.660,3.470,3.570,4.390,4.830,—
    Growth (YoY),SOCIAL_SCORE,—,—,-5.309,-2.699,12.897,-5.087,2.669,22.977,10.041,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,6.830,6.370,6.070,6.020,6.730,6.290,6.730,6.820,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,-6.615,-4.822,-0.760,11.813,-6.512,6.992,1.334,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,71.663,73.584,74.168,78.151,80.404,82.960,83.613,83.613,83.141,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,4.657,2.681,0.793,5.371,2.883,3.178,0.788,0.000,-0.565,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,62.881,66.264,64.845,73.422,76.805,81.093,83.057,83.057,81.637,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,5.379,-2.142,13.228,4.607,5.584,2.421,0.000,-1.709,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,56.469,58.283,61.457,64.843,68.229,71.614,71.614,71.614,71.614,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,8.794,3.212,5.446,5.509,5.221,4.962,0.000,0.000,0.000,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,95.545,96.117,96.117,96.117,96.117,96.117,96.117,96.117,96.117,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,5.519,0.599,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,33.564,32.306,20.546,16.152,12.281,56.462,62.517,58.672,58.186,56.928
    Growth (YoY),NOX_EMISSIONS,-8.714,-3.748,-36.402,-21.386,-23.966,359.751,10.724,-6.150,-0.828,-2.162
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,0.449,0.464,0.454,0.469,0.000
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,3.265,-2.069,3.191,—
Particulate Emissions,PARTICULATE_EMISSIONS,1.620,1.515,1.195,1.272,0.886,1.174,1.271,1.174,1.165,1.164
    Growth (YoY),PARTICULATE_EMISSIONS,-10.249,-6.481,-21.122,6.444,-30.346,32.506,8.262,-7.632,-0.767,-0.086
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,21.922,17.592,7.074,5.392,3.515,1.777,1.352,1.180,1.011,0.769
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-28.656,-19.752,-59.789,-23.777,-34.811,-49.445,-23.917,-12.722,-14.322,-23.937
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ODS Emissions,ODS_EMISSIONS,—,—,—,—,—,0.002,0.001,0.001,—,—
    Growth (YoY),ODS_EMISSIONS,—,—,—,—,—,—,-50.231,0.000,—,—
CO2 Scope 1,CO2_SCOPE_1,"30,065.699","31,587.801","25,479.699","26,696.301","24,254.500","12,927.900","13,003.000","12,754.200","10,940.900",—
    Growth (YoY),CO2_SCOPE_1,-5.361,5.063,-19.337,4.775,-9.147,-46.699,0.581,-1.913,-14.217,—
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,"1,059.400",964.900,—,—,—,—,—,—,—,—
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,-50.954,-8.920,—,—,—,—,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,"30,065.699","31,741.301","25,626.100","26,846.500","24,568.900","13,584.000","13,136.000","13,207.000","11,927.000","10,587.600"
    Growth (YoY),GHG_SCOPE_1,-5.564,5.573,-19.266,4.762,-8.484,-44.711,-3.298,0.540,-9.692,-11.230
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"1,059.400",970.944,788.971,"3,415.200","2,544.000","2,082.000","1,883.000","2,162.000","1,879.000","1,746.830"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-50.954,-8.350,-18.742,332.868,-25.509,-18.160,-9.558,14.817,-13.090,-7.034
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,"3,300.980","2,083.300","2,082.640","1,760.900","2,061.000","1,877.780","1,710.990"
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,-36.888,-0.032,-15.449,17.042,-8.890,-8.882
GHG Scope 3,GHG_SCOPE_3,"26,924.000","28,206.500","29,079.500","18,954.801","40,199.898","54,278.102","57,619.602","44,614.602","42,679.199","39,304.102"
    Growth (YoY),GHG_SCOPE_3,6.394,4.763,3.095,-34.817,112.083,35.020,6.156,-22.570,-4.338,-7.908
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.212,0.225,0.176,0.187,0.163,0.110,0.098,0.096,0.083,0.077
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,-6.195,6.132,-21.778,6.250,-12.834,-32.515,-10.909,-2.041,-13.542,-7.229
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,
Energy,,,,,,,,,,,
Total Energy Consumption,ENERGY_CONSUMPTION,"242,239.000","132,833.000","125,070.000","141,779.000","196,343.000","118,702.000","119,457.000","124,665.000","123,873.000","128,121.000"
    Growth (YoY),ENERGY_CONSUMPTION,4.298,-45.164,-5.844,13.360,38.485,-39.544,0.636,4.360,-0.635,3.429
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,402.505,191.416,152.413,139.181,191.395,124.439,106.197
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,-52.444,-20.376,-8.682,37.515,-34.983,-14.659
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,357.661,137.150,118.692,88.383,110.316,105.533,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,-61.654,-13.458,-25.536,24.816,-4.336,—
Fuel Used - Coal/Lignite,COAL_USED,"5,292.520","4,909.740","1,746.460","1,342.310",844.970,185.635,130.976,0.000,0.000,0.000
    Growth (YoY),COAL_USED,-0.037,-7.232,-64.429,-23.141,-37.051,-78.031,-29.444,—,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,"9,819,980.000","10,637,400.000","11,268,300.000","12,338,900.000","11,573,800.000","13,688,900.000","13,746,200.000","14,206,500.000","13,471,900.000","13,696,100.000"
    Growth (YoY),NAT_GAS_USED,-5.849,8.324,5.931,9.501,-6.201,18.275,0.419,3.349,-5.171,1.664
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,94.738,57.498,81.856,64.470,110.081,40.238,46.027,93.415,135.217,86.976
    Growth (YoY),OIL_DIESEL_USED,126.880,-39.308,42.363,-21.239,70.747,-63.447,14.386,102.960,44.748,-35.677
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,0.989,0.972,0.911,0.889,0.764,0.778,0.731,0.731,0.758,0.761
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,-37.979,-1.685,-6.286,-2.439,-14.062,1.818,-6.071,0.000,3.802,0.366
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,29.607,24.635,10.529,9.193,20.061,19.662,15.706,16.058,17.713,14.964
    Growth (YoY),HAZARDOUS_WASTE,49.795,-16.793,-57.260,-12.689,118.220,-1.989,-20.120,2.241,10.306,-15.520
Total Waste,TOTAL_WASTE,"1,317.070","1,457.310","1,236.050","1,237.390",601.997,701.341,527.491,472.547,361.749,337.551
    Growth (YoY),TOTAL_WASTE,8.427,10.648,-15.183,0.108,-51.349,16.502,-24.788,-10.416,-23.447,-6.689
Waste Recycled,WASTE_RECYCLED,—,—,—,533.242,365.143,701.685,272.057,190.563,196.974,217.386
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,-31.524,92.167,-61.228,-29.955,3.364,10.363
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,164.339,197.325,110.484,89.500
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,—,20.072,-44.009,-18.993
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"2,744,550.000","2,666,030.000","1,858,950.000","1,984,000.000","1,986,000.000","2,016,120.000","1,886,330.000","1,874,400.000","1,719,050.000","1,745,360.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-10.481,-2.861,-30.273,6.727,0.101,1.517,-6.438,-0.632,-8.288,1.530
Total Water Discharged,TOTAL_WATER_DISCHARGED,"2,804,340.000","2,596,150.000","1,777,870.000","1,902,000.000","1,897,560.000","1,927,710.000","1,789,840.000","1,787,110.000","1,642,420.000","1,665,560.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,-4.364,-7.424,-31.519,6.982,-0.233,1.589,-7.152,-0.153,-8.096,1.409
Water Consumption,WATER_CONSMPTN,—,—,—,—,"87,742.000","88,406.000","96,488.000","87,289.000","76,629.000","79,804.000"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,0.757,9.142,-9.534,-12.212,4.143
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,"532,790.000","573,000.000","597,000.000","610,000.000","583,000.000","588,000.000","531,000.000","470,000.000","473,000.000"
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,—,7.547,4.188,2.178,-4.426,0.858,-9.694,-11.488,0.638
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,27.000,34.955,40.556,59.921,49.963,53.500,81.900,58.100,51.900,51.700
    Growth (YoY),COMMUNITY_SPENDING,—,29.463,16.023,47.749,-16.619,7.080,53.084,-29.060,-10.671,-0.385
Total Corporate Foundation and Other Giving,TOT_CORP_FNDN_&_OTH_GIVING,30.970,34.955,40.556,59.921,49.963,48.787,81.437,54.504,52.634,—
    Growth (YoY),TOT_CORP_FNDN_&_OTH_GIVING,8.877,12.867,16.023,47.749,-16.619,-2.354,66.925,-33.073,-3.430,—
Number of Customer Complaints,CUSTOMER_COMPLAINTS,450.000,"1,091.000",189.000,192.000,364.000,215.000,154.000,132.000,127.000,137.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
