,,,,,,
JERA Co Inc (1283469D JP) - Overview,,,,,,
,,,,,,
In Billions of JPY except Per Share,,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024
ESG Financial Materiality Scores,,,,,,
BESG ESG Score,ESG_SCORE,—,1.900,2.310,2.680,—
    Growth (YoY),ESG_SCORE,—,—,21.579,16.017,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,2.180,2.370,2.700,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,8.710,14.300,—
BESG Social Pillar Score,SOCIAL_SCORE,—,1.330,2.130,2.130,—
    Growth (YoY),SOCIAL_SCORE,—,—,60.531,0.000,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,2.050,2.390,3.240,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,16.698,35.454,—
,,,,,,
ESG Disclosure Scores,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,—,36.868,39.262,53.898,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,—,6.494,37.279,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,—,65.328,69.888,70.553,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,6.981,0.951,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,—,18.410,20.466,20.859,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,—,11.166,1.920,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,—,26.881,27.453,70.199,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,—,2.128,155.702,—
,,,,,,
Environmental,,,,,,
Air Quality,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,17.800,17.700,20.000,10.000
    Growth (YoY),NOX_EMISSIONS,—,—,-0.562,12.994,-50.000
Particulate Emissions,PARTICULATE_EMISSIONS,—,"1,350.000","1,920.000","2,120.000","1,980.000"
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,42.222,10.417,-6.604
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,5.090,6.320,7.000,6.000
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,24.165,10.759,-14.286
,,,,,,
Climate Change,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,n/a,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,n/a,Yes,Yes,Yes,n/a
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,n/a,No,No,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,n/a,No,No,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,"127,440.000","131,760.000","128,390.000","125,340.000"
    Growth (YoY),CO2_SCOPE_1,—,—,3.390,-2.558,-2.376
GHG Scope 1,GHG_SCOPE_1,"124,629.000","127,570.000","131,920.000","128,550.000","125,740.000"
    Growth (YoY),GHG_SCOPE_1,—,2.360,3.410,-2.555,-2.186
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,85.243,80.000,38.392,60.000,70.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,-6.151,-52.010,56.283,16.667
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,79.054,—,37.977,48.013,—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,26.427,—
GHG Scope 3,GHG_SCOPE_3,"31,980.699","31,912.600","34,032.602","33,482.699","33,322.699"
    Growth (YoY),GHG_SCOPE_3,—,-0.213,6.643,-1.616,-0.478
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,2.000,2.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,0.000,0.000,0.001,0.001
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,4.264,3.067,2.183
,,,,,,
Energy,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,n/a,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,"547,560.000","548,640.000","541,689.000","523,152.000"
