,,,,,,,,,,,
Electric Power Development Co Ltd (9513 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,03/31/2015,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,2.950,2.980,2.700,3.170,3.190,3.090,3.170,3.710,4.810,—
    Growth (YoY),ESG_SCORE,—,1.017,-9.396,17.407,0.631,-3.135,2.589,17.035,29.650,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,2.770,2.780,2.140,2.820,2.770,2.920,3.070,3.200,4.240,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,0.565,-23.057,31.722,-1.719,5.287,5.205,4.120,32.688,—
BESG Social Pillar Score,SOCIAL_SCORE,2.490,2.490,2.740,3.130,2.860,2.250,2.420,3.060,4.650,—
    Growth (YoY),SOCIAL_SCORE,—,0.000,10.116,14.076,-8.782,-21.184,7.464,26.517,51.914,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,3.770,3.880,3.700,3.840,4.330,4.370,4.180,5.410,5.980,—
    Growth (YoY),GOVERNANCE_SCORE,—,2.903,-4.623,3.755,12.895,0.761,-4.381,29.592,10.602,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,42.682,43.155,45.549,47.359,52.349,54.240,54.029,57.851,64.299,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,1.459,1.108,5.548,3.975,10.535,3.613,-0.389,7.075,11.146,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,45.877,47.297,47.297,47.297,52.975,52.975,61.160,62.881,68.529,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,-3.001,3.094,0.000,0.000,12.005,0.000,15.450,2.815,8.982,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,19.801,19.801,20.707,26.149,29.535,29.293,20.466,27.721,28.114,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,35.611,0.000,4.580,26.277,12.948,-0.819,-30.134,35.451,1.418,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,62.282,62.282,68.543,68.543,74.443,80.343,80.343,82.842,96.117,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,-3.000,0.000,10.053,0.000,8.608,7.926,0.000,3.110,16.025,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,29.100,29.800,27.800,29.600,29.400,27.500,24.200,24.100,23.900,21.200
    Growth (YoY),NOX_EMISSIONS,-6.431,2.405,-6.711,6.475,-0.676,-6.463,-12.000,-0.413,-0.830,-11.297
Particulate Emissions,PARTICULATE_EMISSIONS,0.800,0.800,1.000,0.900,0.900,0.600,0.600,0.600,0.800,0.700
    Growth (YoY),PARTICULATE_EMISSIONS,0.000,0.000,25.000,-10.000,0.000,-33.333,0.000,0.000,33.333,-12.500
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,9.800,10.700,10.200,11.400,12.400,11.900,10.800,10.500,9.300,7.600
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-8.411,9.184,-4.673,11.765,8.772,-4.032,-9.244,-2.778,-11.429,-18.280
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
