,,,,,,,,,,,
Korea Electric Power Corp (015760 KS) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of KRW except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.350,2.480,2.840,3.280,3.640,3.630,3.990,4.370,—
    Growth (YoY),ESG_SCORE,—,—,5.532,14.516,15.493,10.976,-0.275,9.917,9.524,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,1.580,1.570,2.210,3.230,3.370,3.500,4.120,4.600,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,-0.264,40.446,46.322,4.110,4.049,17.609,11.556,—
BESG Social Pillar Score,SOCIAL_SCORE,—,2.090,2.370,2.370,2.370,3.310,2.970,3.110,3.390,—
    Growth (YoY),SOCIAL_SCORE,—,—,13.560,0.000,0.000,39.828,-10.221,4.571,8.987,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,4.200,4.450,4.580,4.390,4.460,4.580,4.710,5.040,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,6.072,2.930,-4.127,1.451,2.646,2.809,7.144,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,38.205,45.981,46.012,46.112,47.239,53.164,55.588,58.284,59.149,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,14.778,20.353,0.066,0.219,2.443,12.543,4.560,4.850,1.484,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,18.514,32.045,31.562,44.428,47.810,50.076,50.076,48.263,55.029,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,347.445,73.083,-1.508,40.766,7.614,4.738,0.000,-3.619,14.018,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,20.617,24.788,24.788,24.788,24.788,40.327,47.612,51.239,47.068,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,1.943,20.235,0.000,0.000,0.000,62.683,18.066,7.619,-8.142,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,75.346,80.975,81.547,69.025,69.025,69.025,69.025,75.286,75.286,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,7.471,0.706,-15.356,0.000,0.000,0.000,9.071,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,75.469,60.904,47.290,30.705,27.419,23.649,19.055
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,-19.299,-22.353,-35.071,-10.702,-13.750,-19.426
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,2.879,2.725,2.234,1.665,1.606,1.519,1.350
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,-5.349,-18.018,-25.470,-3.544,-5.417,-11.126
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,58.961,50.261,36.481,24.166,22.987,19.132,16.709
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,-14.756,-27.417,-33.757,-4.879,-16.770,-12.665
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,No,No
GHG Scope 1,GHG_SCOPE_1,—,—,—,"211,603.000","212,113.000","198,540.000","171,970.000","171,262.000","162,075.000","146,193.000"
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,0.241,-6.399,-13.383,-0.412,-5.364,-9.799
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,"4,103.190","3,824.000","3,690.000","3,620.000","3,822.710","3,779.390","3,905.080"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,-6.804,-3.504,-1.897,5.600,-1.133,3.326
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,"348,015.000","414,180.000","242,831.000","254,458.000","229,675.000"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,19.012,-41.371,4.788,-9.740
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,1.000,1.000,1.000,1.000,—,—,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,0.000,0.000,0.000,—,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"729,799.000","520,888.000","703,885.000","719,305.000","708,479.000","671,574.000","591,239.000","631,829.000","594,201.000","542,487.000"
    Growth (YoY),ENERGY_CONSUMPTION,-6.368,-28.626,35.132,2.191,-1.505,-5.209,-11.962,6.865,-5.955,-8.703
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,—,—,—,37.480,42.537,36.266
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,—,—,—,13.493,-14.742
Total Waste,TOTAL_WASTE,—,—,—,—,—,—,—,"8,918.000","7,906.060","7,999.070"
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,—,—,—,-11.347,1.176
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,—,—,"7,674.660","6,302.560","6,137.360"
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,—,—,-17.878,-2.621
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,—,"64,760.602","56,623.102","55,097.000","58,733.301","56,543.301","56,936.500"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,-12.566,-2.695,6.600,-3.729,0.695
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,37.889,34.134,114.094,119.421,63.743,64.752,316.981,152.456,131.037,169.748
    Growth (YoY),COMMUNITY_SPENDING,-34.640,-9.911,234.253,4.669,-46.623,1.583,389.531,-51.904,-14.049,29.542
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,2.632,0.000,0.000,0.000
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,2.183,2.722,3.137,3.659
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,24.684,15.262,16.630
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,14.096,14.247,18.365,19.077
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,1.076,28.905,3.875
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,—,—,0.370,0.500,6.034,7.578,7.589
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,35.135,"1,106.770",25.598,0.146
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,0.180,0.180,2.799,3.751,3.892
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,0.000,"1,454.989",34.014,3.757
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,—,0.000,1.000,0.000,1.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,—,5.000,10.000,5.000,3.000,7.000
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,—,5.000,11.000,5.000,3.000,7.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,0.023,0.034,0.050,0.060,0.053
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,47.826,47.059,20.000,-11.667
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,0.200,0.170,0.150
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,—,-15.000,-11.765
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,—,0.000,0.000,0.000
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,—,—,-7.692,-8.333
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"49,937.000","53,791.000","56,689.000","59,034.000","60,063.000","68,961.000","61,019.000","62,630.000","49,773.000","49,384.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,3.500,3.130,2.930,2.940,2.910
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,-10.571,-6.390,0.341,-1.020
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,57.860,57.570,73.330,73.250
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,—,-0.501,27.375,-0.109
Employee Training Cost,EMPLOYEE_TRAINING_COST,5.664,4.988,6.314,7.027,6.277,7.174,5.196,4.923,7.327,7.900
    Growth (YoY),EMPLOYEE_TRAINING_COST,6.227,-11.935,26.584,11.292,-10.673,14.290,-27.572,-5.254,48.832,7.820
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,"4,686,000.000","4,355,560.000","4,527,560.000","5,109,240.000","5,018,300.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,-7.052,3.949,12.848,-1.780
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,2.000,3.000,4.000,5.000,6.000,1.000,2.000,3.000,4.000,5.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,100.000,50.000,33.333,25.000,20.000,-83.333,100.000,50.000,33.333,25.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,2.000,3.000,3.000,3.000,3.000,2.000,3.000,3.000,3.000,3.000
