,,,,,,,,,,,
Kyudenko Corp (1959 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,03/31/2015,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,—,2.380,2.370,2.980,—
    Growth (YoY),ESG_SCORE,—,—,—,—,—,—,—,-0.420,25.738,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,—,2.250,2.230,3.480,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,-0.495,55.692,—
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,—,1.300,1.300,1.300,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,—,—,0.000,0.000,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,—,4.420,4.380,4.940,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,—,—,-0.805,12.602,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,23.398,25.370,25.370,25.712,26.859,26.859,28.277,27.462,38.497,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,26.276,8.426,0.000,1.348,4.460,0.000,5.281,-2.882,40.183,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.423,0.423,0.423,0.423,1.087,1.087,5.346,5.346,18.846,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,0.000,0.000,0.000,157.143,0.000,391.667,0.000,252.542,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,13.634,13.634,13.634,14.661,15.054,15.054,15.054,12.485,12.878,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,0.000,0.000,7.539,2.680,0.000,0.000,-17.068,3.148,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,56.021,61.921,61.921,61.921,64.299,64.299,64.299,64.419,83.594,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,1.031,10.532,0.000,0.000,3.841,0.000,0.000,0.187,29.766,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,—,7.446,8.068
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,—,—,8.353
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,—,5.815
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,—,6.816,6.947,7.446,—
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,—,1.922,7.183,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,5.163,5.262,6.080,—
