,,,,,,,,,,,
Okinawa Electric Power Co Inc/The (9511 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,03/31/2015,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,—,2.330,2.310,2.570,—
    Growth (YoY),ESG_SCORE,—,—,—,—,—,—,—,-0.858,11.255,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,—,1.820,1.750,2.300,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,-4.176,31.575,—
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,—,1.330,1.330,1.330,—
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,—,—,0.000,0.000,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,—,4.590,4.670,4.660,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,—,—,1.662,-0.245,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,39.946,39.946,40.600,39.734,37.200,37.994,40.097,40.569,47.973,51.081
    Growth (YoY),ESG_DISCLOSURE_SCORE,0.481,0.000,1.637,-2.131,-6.380,2.136,5.533,1.179,18.249,6.479
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,56.207,56.207,58.170,58.170,44.639,44.639,46.059,47.478,58.291,60.012
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,0.000,3.493,0.000,-23.261,0.000,3.180,3.082,22.774,2.953
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,12.424,12.424,12.424,9.825,9.825,9.825,9.825,9.825,11.790,17.019
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,0.000,0.000,0.000,-20.925,0.000,0.000,0.000,0.000,20.000,44.359
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,51.144,51.144,51.144,51.144,57.044,59.422,64.299,64.299,73.721,76.099
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,1.131,0.000,0.000,0.000,11.536,4.169,8.207,0.000,14.654,3.226
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,1.904,1.975,1.925,1.797,1.729,1.750,1.752,1.598,1.695,1.301
    Growth (YoY),NOX_EMISSIONS,-9.848,3.729,-2.532,-6.649,-3.784,1.215,0.114,-8.790,6.070,-23.245
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,2.420,2.464,2.415,2.251,2.585,2.556,2.720,1.957,2.078,2.451
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-25.263,1.818,-1.989,-6.791,14.838,-1.122,6.416,-28.051,6.183,17.950
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,Yes,Yes
