,,,,,,,,,,,
Ormat Technologies Inc (ORA US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,2.060,2.150,2.280,3.010,3.320,3.240,3.050,3.410,—
    Growth (YoY),ESG_SCORE,—,—,4.369,6.047,32.018,10.299,-2.410,-5.864,11.803,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,0.540,0.540,0.730,1.270,1.270,1.270,1.080,1.250,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,0.000,33.741,73.839,0.000,0.000,-15.127,16.635,—
BESG Social Pillar Score,SOCIAL_SCORE,—,2.120,2.120,2.120,3.330,3.810,3.570,3.770,4.320,—
    Growth (YoY),SOCIAL_SCORE,—,—,0.000,0.000,56.959,14.483,-6.538,5.668,14.613,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,5.620,6.100,6.200,6.570,7.520,7.460,6.790,7.360,—
    Growth (YoY),GOVERNANCE_SCORE,—,—,8.433,1.659,5.943,14.567,-0.888,-8.882,8.380,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,30.661,32.381,32.381,32.663,43.527,51.846,49.512,47.561,51.735,52.912
    Growth (YoY),ESG_DISCLOSURE_SCORE,-5.106,5.610,0.000,0.870,33.261,19.113,-4.501,-3.941,8.777,2.275
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.000,0.332,0.332,1.178,18.363,28.269,24.645,22.924,37.270,39.233
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,0.000,254.545,"1,458.974",53.947,-12.821,-6.985,62.582,5.267
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,8.767,13.603,13.603,13.603,28.476,43.561,40.175,36.034,34.220,35.792
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,-26.768,55.172,0.000,0.000,109.333,52.972,-7.772,-10.309,-5.034,4.594
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,83.022,83.022,83.022,83.022,83.594,83.594,83.594,83.594,83.594,83.594
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,0.000,0.000,0.000,0.689,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,27.680,202.455,95.741,111.219,183.384,171.778
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,631.413,-52.710,16.167,64.885,-6.329
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,8.316,33.674,12.849,11.919,24.743,26.260
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,304.930,-61.843,-7.238,107.593,6.131
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,2.025,1.914,1.620,24.906,25.934
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,-5.481,-15.361,"1,437.407",4.128
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,3.802,7.599,8.986,396.059,337.122
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,99.868,18.252,"4,307.512",-14.881
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,1.000,1.000,2.000,2.000,—,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,0.000,100.000,0.000,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,—,76.331,"1,911.910","1,822.140","2,183.520","1,948.630","1,994.960"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,—,"2,404.749",-4.695,19.833,-10.757,2.378
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,"1,765.920",—,—,—
Electricity Used,ELECTRICITY_USED,—,—,—,—,27.885,"1,856.260",35.098,40.015,"1,887.190","1,921.200"
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,"6,556.912",-98.109,14.009,"4,616.206",1.802
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,80.851,79.889,97.270,—,—
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,—,-1.190,21.757,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,5.504,5.397,1.956,7.372,—,—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,-1.952,-63.748,276.793,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,—,0.999,—,—,1.830,0.340
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,—,—,—,—,-81.421
Total Waste,TOTAL_WASTE,—,—,—,—,8.020,7.063,4.205,3.682,5.543,3.118
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,-11.932,-40.464,-12.438,50.543,-43.749
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,—,—,—,—,1.653
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,—,"14,692.600","15,709.200","17,086.801","18,183.699","20,332.000","20,639.301"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,6.919,8.769,6.420,11.814,1.511
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,"16,491.199",—,—,"20,332.000","20,639.301"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,—,—,1.511
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,0.929,1.057,1.022,1.206,1.199
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,13.795,-3.378,18.046,-0.571
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,0.000,11.000,—,—,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,30.000,26.000,30.000,21.000,22.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,-13.333,15.385,-30.000,4.762
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,16.120,17.000,17.000,18.000,19.000,20.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,5.459,0.000,5.882,5.556,5.263
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,—,—,27.000,—,—,—,37.000
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,0.000,0.000,0.000,0.000,—,—
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,0.000,0.000,0.000,0.000,—,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,1.100,1.100,0.640,0.270,0.420
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,0.000,-41.818,-57.813,55.556
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,2.130,—,—,0.810,0.960
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,18.519
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,2.800,2.130,2.130,1.100,0.800,0.960
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,-23.929,0.000,-48.357,-27.273,20.000
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"1,095.000","1,060.000","1,180.000","1,303.000","1,346.000","1,384.000","1,395.000","1,400.000","1,455.000","1,672.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,16.560,14.000,11.000,16.000,15.000,18.000
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,-15.459,-21.429,45.455,-6.250,20.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,0.000,0.000,0.000,0.000,2.000,1.800,0.000,—,—,—
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,-10.000,—,—,—,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,"9,688.000","42,226.000","32,379.000","37,444.000","41,199.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,335.859,-23.320,15.643,10.028
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,27.000,28.000,29.000,30.000,1.000,2.000,3.000,4.000,5.000,6.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,3.846,3.704,3.571,3.448,-96.667,100.000,50.000,33.333,25.000,20.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,4.000,4.000,4.000,4.000,5.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.000,4.000,4.000,4.000,4.000,4.000,5.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.000,6.000,4.000,4.000,13.000,7.000,13.000,6.000,6.000,6.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,75.000,75.000,100.000,100.000,75.000,75.000,75.000,75.000,75.000,75.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,33.333,0.000,-25.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
