,,,,,,,,,,,
Orsted AS (ORSTED DC) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of DKK except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023,12/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,4.460,4.970,5.520,5.910,5.820,5.550,5.430,5.670,—,—
    Growth (YoY),ESG_SCORE,—,11.435,11.066,7.065,-1.523,-4.639,-2.162,4.420,—,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,3.550,4.750,5.890,6.380,6.190,5.790,5.560,5.830,—,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,33.837,23.937,8.303,-2.940,-6.543,-3.866,4.727,—,—
BESG Social Pillar Score,SOCIAL_SCORE,4.260,4.290,4.350,4.390,3.950,3.990,4.010,3.940,—,—
    Growth (YoY),SOCIAL_SCORE,—,0.809,1.313,0.958,-10.073,1.112,0.540,-1.951,—,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,6.380,6.070,6.160,6.760,7.290,6.860,6.790,7.370,—,—
    Growth (YoY),GOVERNANCE_SCORE,—,-4.884,1.518,9.747,7.710,-5.817,-1.008,8.492,—,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,53.164,59.280,61.644,63.454,61.573,63.273,63.273,63.273,—,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,10.542,11.504,3.988,2.937,-2.964,2.761,0.000,0.000,—,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,49.502,53.186,60.314,60.646,54.999,60.103,60.103,60.103,—,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,-3.984,7.444,13.401,0.551,-9.313,9.281,0.000,0.000,—,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,40.236,43.410,37.092,39.057,39.057,39.057,39.057,39.057,—,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,25.922,7.889,-14.554,5.297,0.000,0.000,0.000,0.000,—,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,69.687,81.156,87.417,90.548,90.548,90.548,90.548,90.548,—,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,14.774,16.458,7.715,3.581,0.000,0.000,0.000,0.000,—,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,3.760,2.754,2.800,2.670,1.910,1.584,2.045,1.892,1.572,—
    Growth (YoY),NOX_EMISSIONS,-9.069,-26.755,1.670,-4.643,-28.464,-17.068,29.104,-7.482,-16.913,—
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,—,—,—,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,0.569,0.562,0.555,0.654,0.517,0.491,0.625,0.780,0.576,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-2.735,-1.230,-1.246,17.838,-20.948,-5.029,27.291,24.800,-26.154,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,"4,834.000","5,294.000","3,916.700","3,451.800","1,820.600","1,829.600","2,114.000","2,484.000",—,—
    Growth (YoY),CO2_SCOPE_1,-24.469,9.516,-26.016,-11.870,-47.257,0.494,15.544,17.502,—,—
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,"4,867.000","5,326.300","3,949.000","3,483.000","1,846.000","1,851.000","2,142.000","2,510.000","1,585.000",733.299
    Growth (YoY),GHG_SCOPE_1,—,9.437,-25.858,-11.800,-47.000,0.271,15.721,17.180,-36.853,-53.735
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,8.675,101.000,151.000,123.000,111.000,53.000,45.000,93.000,58.925
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,"1,064.265",49.505,-18.543,-9.756,-52.252,-15.094,106.667,-36.640
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,223.000,46.000,4.000,1.790,0.802,1.000,1.000,0.875
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,-79.372,-91.304,-55.250,-55.196,24.688,0.000,-12.500
GHG Scope 3,GHG_SCOPE_3,—,—,7.000,"36,234.398","34,604.398","25,333.000","18,179.000","10,984.000","5,631.230","9,043.390"
    Growth (YoY),GHG_SCOPE_3,—,—,—,"517,534.263",-4.498,-26.793,-28.240,-39.579,-48.732,60.594
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,2.000,2.000,2.000,2.000,2.000,2.000,2.000,—,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,0.000,0.000,0.000,0.000,0.000,0.000,—,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.334,0.224,0.151,0.131,0.065,0.058,0.058,0.060,0.038,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,-10.695,-32.934,-32.589,-13.245,-50.382,-10.769,0.000,3.448,-36.667,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"25,836.400","25,696.301","25,335.699","22,445.400","17,336.199","15,869.300","21,891.699","19,167.000","15,568.000","16,005.500"
    Growth (YoY),ENERGY_CONSUMPTION,18.017,-0.542,-1.403,-11.408,-22.763,-8.461,37.950,-12.446,-18.777,2.810
Renewable Energy Use,RENEW_ENERGY_USE,—,—,"10,432.900","11,187.600","11,275.400","9,983.470","15,298.700","11,550.900",—,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,7.234,0.785,-11.458,53.240,-24.498,—,—
Electricity Used,ELECTRICITY_USED,48.000,52.419,"1,220.380","1,208.150",648.000,"1,007.170",303.445,293.135,618.000,476.664
    Growth (YoY),ELECTRICITY_USED,-23.810,9.206,"2,228.125",-1.002,-46.364,55.427,-69.872,-3.398,110.824,-22.870
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,500.000,430.000,—,337.000,0.161,0.072,—,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,-14.000,—,—,-99.952,-55.280,—,—
Fuel Used - Coal/Lignite,COAL_USED,"1,612.000","1,741.610","1,088.670","1,193.600",581.119,643.014,800.567,977.061,553.463,212.111
    Growth (YoY),COAL_USED,-25.232,8.040,-37.491,9.638,-51.314,10.651,24.502,22.046,-43.354,-61.676
Fuel Used - Natural Gas,NAT_GAS_USED,"601,524.000","598,960.000","675,987.000","277,783.000","196,520.000","123,255.000","92,283.797","29,028.301","74,807.797","60,806.199"
    Growth (YoY),NAT_GAS_USED,3.058,-0.426,12.860,-58.907,-29.254,-37.281,-25.128,-68.545,157.706,-18.717
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,24.360,25.520,17.382,16.255,13.597,17.328,17.197,42.453,16.190,16.795
    Growth (YoY),OIL_DIESEL_USED,-19.231,4.762,-31.888,-6.484,-16.351,27.436,-0.755,146.869,-61.865,3.742
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a,Yes
Hazardous Waste,HAZARDOUS_WASTE,5.024,57.050,213.240,193.260,127.000,20.000,3.000,2.000,2.381,2.283
    Growth (YoY),HAZARDOUS_WASTE,-86.380,"1,035.549",273.777,-9.370,-34.285,-84.252,-85.000,-33.333,19.050,-4.116
Total Waste,TOTAL_WASTE,78.391,69.550,233.440,202.460,138.000,71.000,80.000,89.000,121.000,126.104
    Growth (YoY),TOTAL_WASTE,14.961,-11.278,235.643,-13.271,-31.838,-48.551,12.676,11.250,35.955,4.218
Waste Recycled,WASTE_RECYCLED,72.904,65.000,232.000,200.000,—,—,—,—,97.921,107.656
    Growth (YoY),WASTE_RECYCLED,137.587,-10.841,256.923,-13.793,—,—,—,—,—,9.942
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,2.352,0.550,0.240,0.260,—,—,—,—,0.211,0.317
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,72.442,-76.613,-56.364,8.333,—,—,—,—,—,50.237
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"1,546.000","1,726.000","1,554.000","1,380.000","1,164.000","822,474.000","1,033,300.000","1,021,210.000","767,643.000",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,5.313,11.643,-9.965,-11.197,-15.652,"70,559.278",25.633,-1.170,-24.830,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,851.000,850.000,969.000,945.000,882.000,"821,646.000","1,032,160.000","1,019,830.000","766,920.000",—
    Growth (YoY),TOTAL_WATER_DISCHARGED,-69.077,-0.118,14.000,-2.477,-6.667,"93,057.143",25.621,-1.195,-24.799,—
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,828.000,"1,140.000","1,379.000",723.000,—
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,37.681,20.965,-47.571,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,n/a,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Number of Customer Complaints,CUSTOMER_COMPLAINTS,"2,031.000","2,473.000",—,—,—,—,—,—,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,15.000,16.000,13.000,10.000,13.000,20.000,19.000,22.000,22.000,24.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,7.143,6.667,-18.750,-23.077,30.000,53.846,-5.000,15.789,0.000,9.091
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,23.000,22.000,25.000,25.000,25.000,26.000,30.000,31.000,33.000,33.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,-4.167,-4.348,13.636,0.000,0.000,4.000,15.385,3.333,6.452,0.000
