,,,,,,,,,,,
Sumitomo Mitsui Financial Group Inc (8316 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,03/31/2015,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,1.970,1.990,1.960,2.480,2.760,3.680,4.200,4.000,3.750,—
    Growth (YoY),ESG_SCORE,—,1.015,-1.508,26.531,11.290,33.333,14.130,-4.762,-6.250,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,0.040,0.040,0.040,0.780,0.860,2.330,3.870,3.560,4.260,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,0.000,0.000,"1,999.117",10.229,171.450,65.897,-7.943,19.468,—
BESG Social Pillar Score,SOCIAL_SCORE,1.740,1.740,1.680,1.750,2.120,3.020,3.100,3.100,2.320,—
    Growth (YoY),SOCIAL_SCORE,—,0.000,-3.450,4.095,21.141,42.086,2.731,0.120,-25.412,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,5.440,5.580,5.550,6.510,6.820,6.630,6.720,6.200,6.090,—
    Growth (YoY),GOVERNANCE_SCORE,—,2.597,-0.502,17.361,4.706,-2.764,1.388,-7.770,-1.732,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,38.527,38.417,43.477,46.545,52.681,55.568,56.171,54.854,55.377,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,14.843,-0.287,13.171,7.057,13.183,5.480,1.086,-2.346,0.954,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,27.092,26.759,32.981,38.115,39.535,44.730,44.730,40.773,41.951,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,1.242,-1.226,23.251,15.568,3.724,13.140,0.000,-8.845,2.889,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,18.803,18.803,20.375,21.947,24.728,25.695,27.509,27.509,27.902,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,14.760,0.000,8.360,7.715,12.672,3.912,7.059,0.000,1.429,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,69.567,69.567,76.942,79.440,93.618,96.117,96.117,96.117,96.117,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,21.185,0.000,10.601,3.247,17.848,2.669,0.000,0.000,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,16.308,15.167,15.042,15.671,14.863,13.526,11.405,19.071,15.041,13.829
    Growth (YoY),CO2_SCOPE_1,54.931,-6.997,-0.825,4.183,-5.157,-8.995,-15.681,67.216,-21.132,-8.058
