,,,,,,,,,,,
Tokyo Electric Power Co Holdings Inc (9501 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,03/31/2015,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,1.870,2.180,3.520,3.770,3.690,4.220,4.790,5.350,5.690,—
    Growth (YoY),ESG_SCORE,—,16.578,61.468,7.102,-2.122,14.363,13.507,11.691,6.355,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,1.190,1.800,3.170,3.240,3.160,4.250,5.370,6.310,7.070,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,51.210,76.826,2.149,-2.483,34.270,26.440,17.456,12.103,—
BESG Social Pillar Score,SOCIAL_SCORE,0.790,0.790,2.720,3.260,3.050,3.040,3.680,3.760,3.910,—
    Growth (YoY),SOCIAL_SCORE,—,0.000,243.145,19.843,-6.554,-0.200,20.803,2.156,4.035,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,4.790,4.800,5.060,5.280,5.380,5.500,5.040,5.510,5.410,—
    Growth (YoY),GOVERNANCE_SCORE,—,0.359,5.369,4.335,1.926,2.094,-8.247,9.255,-1.808,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,38.718,43.648,56.634,61.302,61.583,60.759,66.020,72.327,70.234,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,16.109,12.731,29.753,8.242,0.459,-1.339,8.659,9.554,-2.893,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,31.682,48.052,68.922,68.922,69.767,66.657,69.284,80.127,76.986,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,15.529,51.668,43.432,0.000,1.227,-4.459,3.942,15.650,-3.920,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,8.736,7.164,25.302,31.288,31.288,31.923,45.103,46.917,43.773,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,42.365,-17.993,253.165,23.656,0.000,2.029,41.288,4.021,-6.701,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,75.587,75.587,75.587,83.594,83.594,83.594,83.594,89.856,89.856,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,13.929,0.000,0.000,10.593,0.000,0.000,0.000,7.490,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,25.000,22.000,21.000,18.000,18.000,2.000,2.000,2.000,2.000,2.000
    Growth (YoY),NOX_EMISSIONS,-32.432,-12.000,-4.545,-14.286,0.000,-88.889,0.000,0.000,0.000,0.000
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,0.100,0.100,0.100
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,—,0.000,0.000
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,13.000,10.000,10.000,7.000,6.000,—,—,1.000,1.000,1.000
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-48.000,-23.077,0.000,-30.000,-14.286,—,—,—,0.000,0.000
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
