,,,,,,,,,,,
TenneT Holding BV (1590Z NA) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
12 Months Ending,,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,—,—,—,—,—,—,—,3.790,3.450,3.600
    Growth (YoY),ESG_SCORE,—,—,—,—,—,—,—,—,-8.971,4.348
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,2.870,2.780,2.820
    Growth (YoY),ENVIRONMENTAL_SCORE,—,—,—,—,—,—,—,—,-3.112,1.308
BESG Social Pillar Score,SOCIAL_SCORE,—,—,—,—,—,—,—,2.570,1.410,2.010
    Growth (YoY),SOCIAL_SCORE,—,—,—,—,—,—,—,—,-45.006,42.167
BESG Governance Pillar Score,GOVERNANCE_SCORE,—,—,—,—,—,—,—,6.200,6.300,6.150
    Growth (YoY),GOVERNANCE_SCORE,—,—,—,—,—,—,—,—,1.641,-2.466
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,—,33.296,38.668,44.402,44.402,47.209,47.370,51.323,46.846,43.718
    Growth (YoY),ESG_DISCLOSURE_SCORE,—,—,16.133,14.828,0.000,6.321,0.341,8.346,-8.722,-6.678
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,—,1.178,10.601,24.977,24.977,24.977,25.461,26.457,26.457,27.877
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,—,—,800.000,135.613,0.000,0.000,1.935,3.915,0.000,5.365
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,—,19.589,26.300,29.142,29.142,29.142,29.142,40.024,26.572,26.572
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,—,34.259,10.805,0.000,0.000,0.000,37.344,-33.610,0.000
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,—,78.959,78.959,78.959,78.959,87.357,87.357,87.357,87.357,76.580
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,—,0.000,0.000,0.000,10.637,0.000,0.000,0.000,-12.336
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,—,33.279,25.051,31.670,26.696,31.668,29.383,29.471,22.982
    Growth (YoY),GHG_SCOPE_1,—,—,—,-24.724,26.422,-15.706,18.625,-7.215,0.299,-22.018
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,"2,237.700","2,501.960","2,487.140","2,485.800","2,405.190","2,420.960","2,507.900","2,569.480"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,11.809,-0.592,-0.054,-3.243,0.656,3.591,2.455
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,—,"3,588.720"
GHG Scope 3,GHG_SCOPE_3,—,—,7.416,14.474,14.590,13.403,11.785,15.029,9.943,700.983
    Growth (YoY),GHG_SCOPE_3,—,—,—,95.173,0.801,-8.136,-12.072,27.527,-33.841,"6,950.015"
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,No,No,No,No
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,"1,322.070",203.543,211.466,213.713,236.263,255.129,238.866,563.840
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,-84.604,3.893,1.063,10.552,7.985,-6.374,136.049
Electricity Used,ELECTRICITY_USED,—,—,136.310,198.240,205.720,208.960,227.700,245.330,231.830,231.660
    Growth (YoY),ELECTRICITY_USED,—,—,—,45.433,3.773,1.575,8.968,7.743,-5.503,-0.073
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,407.965,508.673,551.126,456.018,821.238,938.318,705.553,743.896
    Growth (YoY),NAT_GAS_USED,—,—,—,24.685,8.346,-17.257,80.089,14.257,-24.807,5.434
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,13.910,—,—,—,—,—,—,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,14.000,16.000,17.000,23.000,22.000,23.000,23.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,14.286,6.250,35.294,-4.348,4.545,0.000
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,22.000,23.000,22.000,21.000,22.000,23.000,24.000,25.000,26.000,27.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,4.545,-4.348,-4.545,4.762,4.545,4.348,4.167,4.000,3.846
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,—,—,—,0.000,—,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,—,—,—,3.000,—,—
Fatalities - Total,FATALITIES_TOTAL,—,0.000,1.000,0.000,0.000,0.000,2.000,3.000,2.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,0.234,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,1.496,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.500,0.440,0.720,0.506,0.480,0.722,0.640,0.620,0.540,0.400
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,-12.000,63.636,-29.722,-5.138,50.417,-11.357,-3.125,-12.903,-25.926
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,0.532,—,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,1.150,—,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,1.300,0.984,0.652,0.620,0.966,0.820,1.160,0.880,0.900
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,-24.308,-33.740,-4.908,55.806,-15.114,41.463,-24.138,2.273
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,No,No,No,No,No
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"2,813.000","2,974.000","3,040.000","3,197.000","3,409.000","3,768.000","4,321.000","5,168.000","5,930.000","6,937.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,431.000,659.000,631.000,871.000,"1,129.000","1,145.000","1,401.000","1,452.000","1,467.000","1,399.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,3.990,3.520,3.900,7.660,6.600,6.190,7.490,5.870
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,-11.779,10.795,96.410,-13.838,-6.212,21.002,-21.629
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,84.000,—,83.510,83.540,83.330,83.300,83.000,85.000,—,—
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,0.036,-0.251,-0.036,-0.360,2.410,—,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,—,2.000,2.000,3.000,2.000,3.000,3.000,3.000,3.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,—,2.000,2.000,3.000,2.000,3.000,3.000,3.000,3.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,4.000,4.000,4.000,4.000,4.000,4.000,4.000,5.000,5.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,100.000,100.000,91.700,100.000,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,—,0.000,-8.300,9.051,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,—,6.000,6.000,5.000,4.000,7.000,5.000,5.000,5.000,7.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,—,6.000,6.000,5.000,4.000,4.000,5.000,4.000,4.000,4.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,—,6.000,6.000,5.000,4.000,7.000,5.000,5.000,5.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,—,6.000,6.000,6.000,6.000,8.000,19.000,12.000,11.000,28.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,97.200,97.220,96.660,100.000,94.000,96.000,98.200,96.360,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,0.021,-0.576,3.455,-6.000,2.128,2.292,-1.874,—
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,—,3.000,3.000,3.000,2.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,—,3.000,3.000,3.000,2.000,3.000,3.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,5.000,11.000,5.000,6.000,5.000,4.000,5.000,9.000,6.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,92.300,100.000,100.000,96.300,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,8.342,0.000,-3.700,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,—,0.000,0.000,0.000,1.000,1.000,1.000,1.000,2.000,2.000
