,,,,,,,,,,,
Tohoku Electric Power Co Inc (9506 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
12 Months Ending,,03/31/2015,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,3.070,3.500,3.620,3.610,3.530,3.760,3.780,3.910,3.820,—
    Growth (YoY),ESG_SCORE,—,14.007,3.429,-0.276,-2.216,6.516,0.532,3.439,-2.302,—
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,3.280,3.290,3.270,3.320,2.960,3.280,3.450,3.750,3.860,—
    Growth (YoY),ENVIRONMENTAL_SCORE,—,0.316,-0.537,1.467,-10.802,10.843,5.143,8.570,2.992,—
BESG Social Pillar Score,SOCIAL_SCORE,2.120,3.600,3.600,3.600,3.600,3.600,3.230,3.330,2.920,—
    Growth (YoY),SOCIAL_SCORE,—,69.591,0.000,0.000,0.000,0.000,-10.412,3.359,-12.486,—
BESG Governance Pillar Score,GOVERNANCE_SCORE,3.780,3.760,4.240,4.120,4.470,4.780,4.960,4.820,4.740,—
    Growth (YoY),GOVERNANCE_SCORE,—,-0.402,12.689,-2.882,8.652,6.947,3.816,-2.868,-1.641,—
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,35.842,36.184,39.604,41.233,44.996,48.104,54.733,57.459,61.865,—
    Growth (YoY),ESG_DISCLOSURE_SCORE,-5.815,0.954,9.452,4.115,9.124,6.908,13.781,4.981,7.668,—
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,46.089,46.089,46.089,46.089,46.089,50.347,58.593,60.042,58.653,—
    Growth (YoY),ENVIRON_DISCLOSURE_SCORE,0.000,0.000,0.000,0.000,0.000,9.240,16.377,2.474,-2.314,—
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,10.218,11.246,15.599,15.599,15.599,18.168,29.837,36.578,36.971,—
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,18.182,10.059,38.710,0.000,0.000,16.473,64.226,22.594,1.074,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,51.144,51.144,57.044,61.921,73.179,75.677,75.677,75.677,89.856,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,-13.800,0.000,11.536,8.549,18.182,3.414,0.000,0.000,18.735,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,15.000,14.346,13.334,11.866,10.293,11.169,11.000,11.000,14.000,14.000
    Growth (YoY),NOX_EMISSIONS,-6.250,-4.360,-7.054,-11.009,-13.256,8.511,-1.513,0.000,27.273,0.000
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,—,—,0.014,0.023,0.023
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,—,—,65.942,0.000
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,12.000,9.884,9.831,9.746,7.065,7.094,6.000,8.000,7.000,6.000
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,-7.692,-17.633,-0.536,-0.865,-27.509,0.410,-15.421,33.333,-12.500,-14.286
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
