Company,Ticker,Market Cap ($M)
Abu Dhabi National Energy Company PJSC (ADX:TAQA),TAQA,94889.0
"ACS, Actividades de Construcción y Servicios, S.A. (BME:ACS)",ACS,13716.9
Advantage Energy Ltd. (TSX:AAV),AAV,1149.8
AKITA Drilling Ltd. (TSX:AKT.A),AKT.A,46.3
Ampol Limited (ASX:ALD),ALD,4258.6
Arabian Drilling Company (SASE:2381),2381,2455.8
ARC Resources Ltd. (TSX:ARX),ARX,11314.3
Athabasca Oil Corporation (TSX:ATH),ATH,1771.7
Bangchak Corporation Public Company Limited (SET:BCP),BCP,1467.2
"Barnwell Industries, Inc. (NYSEAM:BRN)",BRN,16.6
BASF SE (XTRA:BAS),BAS,45624.2
Baytex Energy Corp. (TSX:BTE),BTE,1955.0
Birchcliff Energy Ltd. (TSX:BIR),BIR,1111.2
"BlackRock, Inc. (NYSE:BLK)",BLK,150886.2
BlueNord ASA (OB:BNOR),BNOR,1638.8
BP p.l.c. (LSE:BP.),BP.,88563.0
Braskem S.A. (BOVESPA:BRKM5),BRKM5,1794.0
"Buckeye Partners, L.P. (NYSE:BPL)",BPL,
Bumi Armada Berhad (KLSE:ARMADA),ARMADA,771.4
Cabot Corporation (NYSE:CBT),CBT,4580.1
Canadian Natural Resources Limited (TSX:CNQ),CNQ,63376.4
Cenovus Energy Inc. (TSX:CVE),CVE,26636.3
Chevron Corporation (NYSE:CVX),CVX,276273.1
China National Petroleum Corporation,-,
China Petroleum & Chemical Corporation (SEHK:386),386,92383.9
CNOOC Limited (SEHK:883),883,116930.5
Companhia Brasileira de Alumínio (BOVESPA:CBAV3),CBAV3,679.5
ConocoPhillips (NYSE:COP),COP,124616.9
Contact Energy Limited (NZSE:CEN),CEN,4184.0
"CorEnergy Infrastructure Trust, Inc. (OTCEM:CRNG)",CRNG,146.5
Coterra Energy Inc. (NYSE:CTRA),CTRA,20728.3
Crescent Energy Company (NYSE:CRGY),CRGY,2745.4
"Crimson Midstream Holdings, LLC",-,
Ecopetrol S.A. (BVC:ECOPETROL),ECOPETROL,21625.0
Enbridge Inc. (TSX:ENB),ENB,91192.6
"ENEOS Holdings, Inc. (TSE:5020)",5020,15443.1
Energy Transfer LP (NYSE:ET),ET,66531.3
