Country Name,Country Code,Series,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.74643,..,..,..,0.83322,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,1.16036,1.11718,1.42788,..,1.30332,..,..,..,1.73981,1.84093,1.90917,1.72998,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.47945,3.46201,2.6042,3.45446,3.69522,3.2558,4.22836,4.05887,..,..,..,..,..,..,..
Afghanistan,AFG,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.72569,..,..,..,54.21079,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio for tertiary education, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,0.76877,0.92388,0.95113,1.09459,1.0226,1.11732,1.26757,1.40822,1.80833,1.94564,..,..,1.72288,..,..,..,2.1554,1.70774,..,..,2.21141,..,..,..,..,..,..,..,..,..,..,..,..,1.20234,1.19937,..,..,..,..,3.77498,..,3.62226,..,..,8.23068,..,..,..,9.68642,..,..,..,..,..,..
Albania,ALB,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.74141,..,..,..,..,..,..,9.16803,..,..,9.90485,10.14573,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.44698,3.81464,3.08351,3.37947,3.53698,3.59293,3.43017,3.4587,3.1178,3.13824,3.22752,3.28155,3.19146,3.27593,..,..,..,..,..,3.5393,..,3.43797,3.96209,3.61172,..,..,..,..,..,..,..
Albania,ALB,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.19,..,..,..,..,98.91,..,..,..,98.19074,..,..,..,..,..,..,..,94.95685,..,..,..,..,..,..,..
Albania,ALB,"Gross enrolment ratio for tertiary education, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,13.90814,14.92791,..,..,..,..,..,5.83142,..,..,5.1894,..,5.92612,6.55999,7.02591,7.22121,7.32687,7.73796,8.14828,8.36636,8.85533,9.28732,11.17761,10.63358,10.20282,10.93945,12.69972,13.55017,14.74777,15.53661,15.90463,16.31143,16.65724,19.89044,23.18983,26.63714,30.68713,32.0928,33.38555,44.54925,49.8787,59.25201,64.63443,65.78297,62.00762,58.38185,57.37526,54.96133,59.7785,..,..,..,..,..
Algeria,DZA,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,0.8955,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.40254,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.18201,6.59742,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.33702,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
