Company,Ticker,Year,BESG ESG Score,BESG Environmental Pillar Score,BESG Social Pillar Score,BESG Governance Pillar Score,ESG Disclosure Score,Environmental Disclosure Score,Social Disclosure Score,Governance Disclosure Score,Nitrogen Oxide Emissions,Risks of Climate Change Discussed,GHG Scope 1,GHG Scope 2 Location-Based,Policy Against Child Labor,Pct Women in Workforce,Fatalities - Employees,Fatalities - Total,Total Recordable Incident Rate - Employees,Number of Employees - CSR,Years Auditor Employed,Size of Audit Committee,Number of Independent Directors on Audit Committee,Audit Committee Meetings,Audit Committee Meeting Attendance Percentage,Board Size,Number of Executives / Company Managers,Number of Non Executive Directors on Board,Number of Board Meetings for the Year,Board Meeting Attendance Pct,Size of Compensation Committee,Num of Independent Directors on Compensation Cmte,Number of Compensation Committee Meetings,Compensation Committee Meeting Attendance %,Number of Female Executives,Number of Women on Board,Age of the Youngest Director,Age of the Oldest Director,Number of Independent Directors,Size of Nomination Committee,Num of Independent Directors on Nomination Cmte,Number of Nomination Committee Meetings,Nomination Committee Meeting Attendance Percentage,Board Duration (Years),Total Energy Consumption,Total Water Withdrawal,Human Rights Policy,Equal Opportunity Policy,Business Ethics Policy,Anti-Bribery Ethics Policy,Health and Safety Policy,Training Policy,Social Supply Chain Management,Emissions Reduction Initiatives,Climate Change Policy,Climate Change Opportunities Discussed,Energy Efficiency Policy,Waste Reduction Policy,Environmental Supply Chain Management,Water Policy,Biodiversity Policy,Fair Remuneration Policy,Verification Type,Employee CSR Training,Market Cap Category,Country
ACS Actividades de Construccion y Servicios SA,ACS,2015,1.85,0.66,2.38,3.66,55.296,42.616,41.717,81.457,22.403380067567568,False,429.6283333333333,294.523,True,40.1,3.0,13.0,3.7,382.0677083333333,14.0,5.0,2.0,6.0,94.09853801169591,18.0,60.0,14.0,7.0,90.76,6.0,2.0,5.0,93.96819696969696,2.0,3.0,35.0,79.0,5.0,6.0,2.0,5.0,93.79323809523811,4.0,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,Mid Cap,Spain
ACS Actividades de Construccion y Servicios SA,ACS,2016,2.17,1.13,2.37,4.05,55.497,48.354,36.578,81.457,0.505,False,429.6283333333333,242.119,True,42.8,7.0,13.0,2.774,382.0677083333333,15.0,5.0,3.0,6.0,94.09853801169591,16.0,50.0,13.0,7.0,95.73,7.0,2.0,5.0,93.96819696969696,2.0,2.0,53.0,80.0,4.0,7.0,2.0,5.0,93.79323809523811,4.0,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,Mid Cap,Spain
ACS Actividades de Construccion y Servicios SA,ACS,2017,2.76,1.13,4.3,4.11,57.248,50.317,44.891,76.46,0.531,False,429.6283333333333,371.274,True,41.2,1.0,3.0,2.424,382.0677083333333,16.0,5.0,3.0,6.0,94.09853801169591,18.0,53.0,14.0,8.0,97.0,7.0,3.0,6.0,93.96819696969696,3.0,3.0,50.06,72.24714285714286,5.0,6.0,2.0,6.0,93.79323809523811,4.0,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,Mid Cap,Spain
ACS Actividades de Construccion y Servicios SA,ACS,2018,2.63,1.11,4.2,3.64,62.609,52.28,59.039,76.46,0.473,False,429.6283333333333,265.501,True,38.8,4.0,11.0,2.25,382.0677083333333,17.0,5.0,3.0,7.0,94.09853801169591,18.0,52.0,14.0,8.0,97.2,6.0,3.0,2.0,93.96819696969696,4.0,3.0,50.06,72.24714285714286,5.0,7.0,2.0,2.0,93.79323809523811,4.0,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,Mid Cap,Spain
ACS Actividades de Construccion y Servicios SA,ACS,2019,2.79,1.31,4.21,3.87,64.39,57.626,59.039,76.46,12.151,False,532.412,184.456,True,41.5,4.0,8.0,2.872,382.0677083333333,1.0,5.0,3.0,6.0,94.09853801169591,17.0,53.0,13.0,7.0,96.8,5.0,3.0,3.0,93.96819696969696,5.0,3.0,50.06,72.24714285714286,5.0,7.0,2.0,4.0,93.79323809523811,4.0,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,Mid Cap,Spain
ACS Actividades de Construccion y Servicios SA,ACS,2020,3.4,2.4,4.23,4.15,64.953,58.291,60.067,76.46,1.305,True,391.217,115.173,True,51.97,4.0,6.0,2.368,382.0677083333333,2.0,5.0,3.0,6.0,94.09853801169591,16.0,54.0,12.0,9.0,100.0,5.0,3.0,2.0,93.96819696969696,5.0,3.0,50.06,72.24714285714286,5.0,6.0,2.0,5.0,93.79323809523811,4.0,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,Mid Cap,Spain
ACS Actividades de Construccion y Servicios SA,ACS,2021,4.03,3.5,4.28,4.64,67.679,66.475,60.067,76.46,1.377,True,371.978,128.44,True,58.0,2.0,7.0,2.728,382.0677083333333,3.0,5.0,4.0,6.0,94.09853801169591,15.0,30.0,12.0,8.0,98.37,5.0,3.0,1.0,93.96819696969696,4.0,3.0,50.06,72.24714285714286,5.0,6.0,2.0,1.0,93.79323809523811,4.0,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,Mid Cap,Spain
ACS Actividades de Construccion y Servicios SA,ACS,2022,4.7,4.99,4.48,4.53,68.253,68.197,60.067,76.46,1.371,True,378.893,161.034,True,56.7,0.0,2.0,3.022,382.0677083333333,4.0,5.0,4.0,6.0,94.09853801169591,15.0,28.0,11.0,8.0,98.53,5.0,3.0,3.0,93.96819696969696,3.0,4.0,50.06,72.24714285714286,6.0,6.0,3.0,4.0,93.79323809523811,4.0,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,Mid Cap,Spain
AKITA Drilling Ltd,AKT.A,2021,1.01,0.0,0.46,3.77,32.079,1.087,13.876,81.096,22.403380067567568,False,429.6283333333333,234.60007450980393,False,26.508317841079464,0.20775193798449612,0.9289256198347108,3.55,600.0,21.621951219512194,5.0,4.0,4.0,100.0,8.0,5.0,7.0,5.0,100.0,4.0,3.0,2.0,100.0,1.0,4.0,59.0,82.0,5.0,4.0,3.0,2.0,100.0,1.0,341.7038493150685,423.77154455445543,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,Small Cap,Canada
AKITA Drilling Ltd,AKT.A,2022,1.04,0.0,0.46,3.95,32.079,1.087,13.876,81.096,22.403380067567568,False,429.6283333333333,234.60007450980393,False,26.508317841079464,0.20775193798449612,0.9289256198347108,7.31,600.0,21.621951219512194,4.0,4.0,4.0,100.0,8.0,3.0,7.0,4.0,96.774,4.0,4.0,3.0,87.5,1.0,3.0,60.0,83.0,6.0,4.0,4.0,3.0,87.5,1.0,341.7038493150685,423.77154455445543,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,Small Cap,Canada
