Company,Ticker,Year,BESG ESG Score,BESG Environmental Pillar Score,BESG Social Pillar Score,BESG Governance Pillar Score,ESG Disclosure Score,Environmental Disclosure Score,Social Disclosure Score,Governance Disclosure Score,Nitrogen Oxide Emissions,VOC Emissions,Particulate Emissions,Sulphur Dioxide / Sulphur Oxide Emissions,Risks of Climate Change Discussed,GHG Scope 1,GHG Scope 2 Location-Based,GHG Scope 3,Carbon per Unit of Production,Fuel Used - Natural Gas,Energy Per Unit of Production,Policy Against Child Labor,Community Spending,Gender Pay Gap Breakout,Pct Women in Middle and or Other Management,Pct Women in Workforce,Fatalities - Employees,Fatalities - Contractors,Fatalities - Total,Lost Time Incident Rate - Employees,Lost Time Incident Rate - Contractors,Lost Time Incident Rate - Workforce,Total Recordable Incident Rate - Employees,Total Recordable Incident Rate - Contractors,Total Recordable Incident Rate - Workforce,Number of Employees - CSR,Number of Contractors,Employee Turnover Pct,Years Auditor Employed,Size of Audit Committee,Number of Independent Directors on Audit Committee,Audit Committee Meetings,Audit Committee Meeting Attendance Percentage,Board Size,Number of Executives / Company Managers,Number of Non Executive Directors on Board,Number of Board Meetings for the Year,Board Meeting Attendance Pct,Size of Compensation Committee,Num of Independent Directors on Compensation Cmte,Number of Compensation Committee Meetings,Compensation Committee Meeting Attendance %,Number of Female Executives,Number of Women on Board,Board Age Limit,Age of the Youngest Director,Age of the Oldest Director,Number of Independent Directors,Size of Nomination Committee,Num of Independent Directors on Nomination Cmte,Number of Nomination Committee Meetings,Nomination Committee Meeting Attendance Percentage,Board Duration (Years),Carbon Monoxide Emissions,CO2 Scope 1,Scope of Disclosure,Total Energy Consumption,Electricity Used,Total Waste,Waste Recycled,Waste Sent to Landfills,Total Water Withdrawal,Total Water Discharged,Water Consumption,Human Rights Policy,Equal Opportunity Policy,Pct Women in Senior Management,Pct Minorities in Workforce,Business Ethics Policy,Anti-Bribery Ethics Policy,Health and Safety Policy,Training Policy,Pct Employees Unionized,Employee Training Cost,Total Hours Spent by Firm - Employee Training,Social Supply Chain Management,Emissions Reduction Initiatives,Climate Change Policy,Climate Change Opportunities Discussed,Energy Efficiency Policy,Fuel Used - Coal/Lignite,Fuel Used - Crude Oil/Diesel,Waste Reduction Policy,Hazardous Waste,Environmental Supply Chain Management,Water Policy,Biodiversity Policy,Quality Assurance and Recall Policy,Consumer Data Protection Policy,Fair Remuneration Policy,Verification Type,Employee CSR Training,Renewable Energy Use,80%+ Workforce Gender Pay Gap Waterfall,Political Donations,Company Conducts Board Evaluations,Company Has Executive Share Ownership Guidelines,Director Share Ownership Guidelines,GHG Scope 2 Market-Based,Self Generated Renewable Electricity,Pct Minorities in Management,Pct Disabled in Workforce,Percentage Gender Pay Gap for Senior Management,Percentage Gender Pay Gap Mid & Other Management,CO2 Scope 2 Location-Based,Water per Unit of Production,Pct Recycled Materials,Number of Suppliers Audited,Percentage Suppliers Audited,Number of Supplier Audits Conducted,Number Supplier Facilities Audited,Percentage of Suppliers in Non-Compliance,ODS Emissions,Number of Customer Complaints,Transition Plan Claim,Adopts TNFD Recommendations,Zero Deforestation Policy,Board Level Oversight of Biodiversity,Executive Level Oversight of Biodiversity,Company Discloses Employee Engagement Score,Indep Directors,Raw Materials Used,Percentage Gender Pay Gap Employees Ex Management,Percentage Raw Material from Sustainable Sources,"Revenue, Adj","Net Income, Adj",Margin %,"EPS, Adj",Market Cap ($M),Market Cap Category
ACS Actividades de Construccion y Servicios SA,ACS,2014,,,,,50.729,37.511,33.676,80.885,,,,,No,"5,798.390",463.901,"10,719.000",,402.636,,Yes,,No,,37.400,,,,,,,3.036,1.860,,"210,345.000",,12.700,13.000,5.000,2.000,6.000,,17.000,25.000,12.000,7.000,88.240,6.000,3.000,7.000,,0.000,1.000,,34.000,78.000,5.000,6.000,3.000,7.000,,6.000,,,1.000,"22,686.801",861.156,"8,923.270",,,,"9,467.890",,Yes,Yes,,,Yes,Yes,Yes,Yes,27.700,130.500,"2,581,680.000",Yes,Yes,Yes,No,Yes,,"2,108.100",Yes,176.526,Yes,Yes,Yes,,,No,Yes,No,,,,,,,,,,2.293,,,,,,,,,,,,,,,,,,,,,,,,,,,13716.9,Large Cap
ACS Actividades de Construccion y Servicios SA,ACS,2015,1.850,0.660,2.380,3.660,55.296,42.616,41.717,81.457,,,,,No,"3,288.760",294.523,"9,131.960",,"3,019.490",,Yes,,No,14.900,40.100,3.000,10.000,13.000,,,,3.700,1.580,,"170,241.000",,13.500,14.000,5.000,2.000,6.000,,18.000,60.000,14.000,7.000,90.760,6.000,2.000,5.000,,2.000,3.000,,35.000,79.000,5.000,6.000,2.000,5.000,,4.000,,,1.000,"13,875.600",759.020,"4,461.370",,,"40,783.500","12,672.400",,Yes,Yes,,,Yes,Yes,Yes,Yes,23.100,90.700,"2,283,240.000",Yes,Yes,Yes,No,Yes,,"1,255.200",Yes,327.729,Yes,Yes,Yes,,,No,Yes,No,18.437,,,,,,,,,2.940,,,,,,,,,,,,,,,,,,,,,,,,,,,13716.9,Large Cap
ACS Actividades de Construccion y Servicios SA,ACS,2016,2.170,1.130,2.370,4.050,55.497,48.354,36.578,81.457,0.505,,,0.006,No,"2,169.790",242.119,"4,621.960",,"2,400.340",,Yes,,No,16.530,42.800,7.000,6.000,13.000,,,,2.774,0.632,,"176,755.000",,,15.000,5.000,3.000,6.000,,16.000,50.000,13.000,7.000,95.730,7.000,2.000,5.000,,2.000,2.000,,53.000,80.000,4.000,7.000,2.000,5.000,,4.000,,,1.000,"8,810.050",491.425,"2,920.680",,,"46,570.898","15,339.500",,Yes,Yes,11.790,,Yes,Yes,Yes,Yes,,26.300,"1,764,290.000",Yes,Yes,Yes,No,Yes,,831.000,Yes,50.860,Yes,Yes,Yes,,,No,Yes,No,25.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13716.9,Large Cap
ACS Actividades de Construccion y Servicios SA,ACS,2017,2.760,1.130,4.300,4.110,57.248,50.317,44.891,76.460,0.531,,,0.009,No,"2,436.360",371.274,"3,126.090",,"2,507.720",,Yes,6.900,No,16.440,41.200,1.000,2.000,3.000,,,,2.424,0.688,,"182,269.000",,,16.000,5.000,3.000,6.000,,18.000,53.000,14.000,8.000,97.000,7.000,3.000,6.000,,3.000,3.000,,,,5.000,6.000,2.000,6.000,,4.000,,,1.000,"10,004.900",660.173,"9,476.580",,,"14,406.200","23,662.301",,Yes,Yes,10.980,,Yes,Yes,Yes,Yes,28.400,28.500,"2,572,530.000",Yes,Yes,Yes,No,Yes,,928.000,Yes,130.882,Yes,Yes,Yes,,,No,Yes,No,28.357,,,,,,,,,4.300,,,,,,,,,,,,,,,,,,,,"5,140.650",,,,,,,13716.9,Large Cap
ACS Actividades de Construccion y Servicios SA,ACS,2018,2.630,1.110,4.200,3.640,62.609,52.280,59.039,76.460,0.473,,,0.009,No,"3,073.380",265.501,"3,026.370",,"3,808.900",,Yes,8.200,Yes,12.610,38.800,4.000,7.000,11.000,,,,2.250,0.634,,"195,461.000",,17.470,17.000,5.000,3.000,7.000,,18.000,52.000,14.000,8.000,97.200,6.000,3.000,2.000,,4.000,3.000,,,,5.000,7.000,2.000,2.000,,4.000,,,1.000,"12,088.600",539.982,"17,353.699",,"1,011.960","24,264.400","25,519.301",,Yes,Yes,12.610,,Yes,Yes,Yes,Yes,67.820,33.000,"3,120,050.000",Yes,Yes,Yes,No,Yes,,"1,138.000",Yes,42.717,Yes,Yes,Yes,,,No,Yes,No,23.771,,0.000,,,,,,,3.620,,,,,,,,,,,,,,,,,,,,"8,653.300",,,,,,,13716.9,Large Cap
ACS Actividades de Construccion y Servicios SA,ACS,2019,2.790,1.310,4.210,3.870,64.390,57.626,59.039,76.460,12.151,,,0.007,No,532.412,184.456,"2,538.220",,"4,076.700",,Yes,8.100,Yes,17.510,41.500,4.000,4.000,8.000,,,,2.872,0.582,,"190,431.000",,20.800,1.000,5.000,3.000,6.000,,17.000,53.000,13.000,7.000,96.800,5.000,3.000,3.000,,5.000,3.000,,,,5.000,7.000,2.000,4.000,,4.000,,,1.000,"12,669.400",637.493,"12,800.300","9,817.840","2,896.460","27,068.199","18,455.699","8,612.440",Yes,Yes,12.090,,Yes,Yes,Yes,Yes,70.900,34.600,"2,990,790.000",Yes,Yes,Yes,No,Yes,,"1,189.000",Yes,130.343,Yes,Yes,Yes,,,No,Yes,No,63.323,,0.000,,,,,,,4.170,,,,,,,,,,,,,,,,,,,,"8,594.770",,,,,,,13716.9,Large Cap
ACS Actividades de Construccion y Servicios SA,ACS,2020,3.400,2.400,4.230,4.150,64.953,58.291,60.067,76.460,1.305,,,0.001,Yes,391.217,115.173,"1,864.850",,"3,635.080",,Yes,11.000,Yes,,51.970,4.000,2.000,6.000,,,,2.368,0.672,,"122,779.000",,13.100,2.000,5.000,3.000,6.000,,16.000,54.000,12.000,9.000,100.000,5.000,3.000,2.000,,5.000,3.000,,,,5.000,6.000,2.000,5.000,,4.000,,,1.000,"1,663.430",278.156,"16,300.100","13,773.600","2,241.030","27,681.000","7,327.050","2,540.420",Yes,Yes,12.250,,Yes,Yes,Yes,Yes,74.400,10.700,"721,895.000",Yes,Yes,Yes,Yes,Yes,,134.000,Yes,358.311,Yes,Yes,Yes,,,No,Yes,No,51.651,,0.000,,,,,,,4.420,,76.700,,,,,,,,,,,,,,,,,,"6,173.810",,,,,,,13716.9,Large Cap
ACS Actividades de Construccion y Servicios SA,ACS,2021,4.030,3.500,4.280,4.640,67.679,66.475,60.067,76.460,1.377,,,0.001,Yes,371.978,128.440,"3,495.020",,"5,857.100",,Yes,6.100,Yes,,58.000,2.000,5.000,7.000,,,,2.728,0.602,,"122,502.000",,14.700,3.000,5.000,4.000,6.000,,15.000,30.000,12.000,8.000,98.370,5.000,3.000,1.000,,4.000,3.000,,,,5.000,6.000,2.000,1.000,,4.000,,,2.000,"1,864.000",293.521,"18,745.301","15,534.500","2,843.360","12,649.100","6,776.490","5,872.610",Yes,Yes,15.080,,Yes,Yes,Yes,Yes,78.900,14.800,"963,760.000",Yes,Yes,Yes,Yes,Yes,,141.800,Yes,400.892,Yes,Yes,Yes,,,No,Yes,No,70.556,,0.000,,,,104.367,,,6.250,,75.000,,,,,,,,,,,,,,,,,,"5,148.610",,,,,,,13716.9,Large Cap
ACS Actividades de Construccion y Servicios SA,ACS,2022,4.700,4.990,4.480,4.530,68.253,68.197,60.067,76.460,1.371,,,0.001,Yes,378.893,161.034,"7,345.110",,"5,242.740",,Yes,8.500,Yes,,56.700,0.000,2.000,2.000,,,,3.022,0.586,,"128,721.000",,12.600,4.000,5.000,4.000,6.000,,15.000,28.000,11.000,8.000,98.530,5.000,3.000,3.000,,3.000,4.000,,,,6.000,6.000,3.000,4.000,,4.000,,,2.000,"1,852.100",385.578,"15,900.100","12,818.200","2,670.460","13,735.100","11,288.800","2,446.250",Yes,Yes,15.500,,Yes,Yes,Yes,Yes,77.600,17.900,"1,071,840.000",Yes,Yes,Yes,Yes,Yes,0.000,130.600,Yes,138.334,Yes,Yes,Yes,,,No,Yes,No,57.979,,0.000,,,,147.274,,,6.380,,76.600,,,,,,,,,,,,,,,,,,"5,453.200",,,,,,,13716.9,Large Cap
ACS Actividades de Construccion y Servicios SA,ACS,2023,,,,,,,,,1.342,,,0.001,Yes,380.722,151.266,"7,726.250",,"3,474.430",,Yes,8.100,Yes,,55.500,0.000,3.000,3.000,,,,2.934,0.518,,"135,419.000",,13.800,1.000,5.000,4.000,7.000,,15.000,28.000,11.000,7.000,94.290,5.000,4.000,2.000,,5.000,7.000,,,,8.000,6.000,4.000,2.000,,4.000,,380.722,,"1,983.480",392.374,"14,260.400","11,328.100","1,696.690","11,716.700","7,423.600","4,293.120",Yes,Yes,18.400,,Yes,Yes,Yes,Yes,80.400,22.264,"1,566,880.000",Yes,Yes,Yes,Yes,Yes,,133.000,Yes,167.247,Yes,Yes,Yes,,,No,Yes,No,62.227,,0.000,,,,134.034,,,5.700,,,,,,,,,,,,,,,,,,,,"7,424.270",,,,,,,13716.9,Large Cap
